Company Name,Executive First Name,Executive Last Name,Address,City,State,ZIP Code,County,Metro Area,Phone Number Combined,Primary SIC Description,Primary SIC Year Appeared,SIC Code 1 Description,Location Sales Volume Actual,Location Employee Size Range,Own or Lease
B & D Holdings,Martin,Segal,67 Mountain Blvd Ext # 201,Warren,NJ,07059,Somerset,"New York, NY-NJ",(908) 279-7881,Real Estate Management,2015,Real Estate Management,"$405,000",1 to 4,Lease
Barsky Property Management LLC,Danielle,Drozdek,11 Seminary Ave,Hopewell,NJ,08525,Mercer,"Trenton, NJ",(609) 924-2267,Real Estate Management,2023,Real Estate Management,"$506,000",1 to 4,Unknown
Bart & Bart,Michael,Bart,104 Main St # 2,Woodbridge,NJ,07095,Middlesex,"New York, NY-NJ",(732) 634-5680,Real Estate Management,1984,Real Estate Management,"$380,000",1 to 4,Unknown
Bayard St Prop LLC,Business,Owner,110 Bayard St,New Brunswick,NJ,08901,Middlesex,"New York, NY-NJ",(732) 249-1216,Real Estate,2001,Real Estate,"$380,000",1 to 4,Own
Bayville Holdings LLC,Business,Owner,143 E State St # 4,Trenton,NJ,08608,Mercer,"Trenton, NJ",(609) 393-7230,Real Estate Management,2008,Real Estate Management,"$506,000",1 to 4,Own
Beacon Hill At Vanderhaven Frm,Miranda,Lardieri,4300 Winder Dr,Bridgewater,NJ,08807,Somerset,"New York, NY-NJ",(908) 707-0163,Real Estate Management,2006,Real Estate Management,"$405,000",1 to 4,Own
Beverly Commons LLC,Business,Owner,620 3rd St # Ofc,Beverly,NJ,08010,Burlington,"Phl, PA-NJ-DE-MD",(609) 387-1807,Real Estate,2008,Real Estate,"$832,000",5 to 9,Own
BGF LLC,Business,Owner,47 Raritan Ave,Highland Park,NJ,08904,Middlesex,"New York, NY-NJ",(732) 249-3908,Real Estate,2015,Real Estate,"$380,000",1 to 4,Own
Blue Marble Realty LLC,Business,Owner,14 Surrey Ln,Willingboro,NJ,08046,Burlington,"Phl, PA-NJ-DE-MD",(856) 242-3112,Real Estate,2017,Real Estate,"$357,000",1 to 4,Unknown
Blue Sky Properties LLC,Business,Owner,6 Claremont Rd,Bernardsville,NJ,07924,Somerset,"New York, NY-NJ",(908) 373-2050,Real Estate Management,2019,Real Estate Management,"$270,000",1 to 4,Own
Bradley Graphic Communications,John,Wilson,5 Maureen Ct,Edison,NJ,08820,Middlesex,"New York, NY-NJ",(732) 548-9600,Real Estate Management,2007,Real Estate Management,"$632,000",5 to 9,Own
Brandon Farms Property ASC,Kathy,Fazzaro,1202 Pebble Creek Ct,Pennington,NJ,08534,Mercer,"Trenton, NJ",(609) 737-9058,Real Estate Management,2008,Real Estate Management,"$506,000",1 to 4,Lease
Briar Manor Developers LLC,Business,Owner,Astor Ln,Franklin Park,NJ,08823,Somerset,"New York, NY-NJ",(732) 940-6328,Real Estate,2001,Real Estate,"$405,000",1 to 4,Own
Bridgepoint At Harbor Heights,Business,Owner,Alexandria Pkwy,Old Bridge,NJ,08857,Middlesex,"New York, NY-NJ",(732) 290-1111,Real Estate Management,2012,Real Estate Management,"$253,000",1 to 4,Own
Brook Management LLC,Business,Owner,1481 Oak Tree Rd,Iselin,NJ,08830,Middlesex,"New York, NY-NJ",(732) 283-5400,Management Services,2014,Management Services,"$713,000",1 to 4,Lease
Brookville Commons LLC,Eli,Mendlovitz,333 Clearfield Ave # 1,Trenton,NJ,08618,Mercer,"Trenton, NJ",(609) 396-0200,Real Estate Management,1992,Real Estate Management,"$253,000",1 to 4,Lease
Burlington Terri LLC,Terri,Burlington,2 Terri Ln,Burlington,NJ,08016,Burlington,"Phl, PA-NJ-DE-MD",(609) 387-5180,Real Estate,2015,Real Estate,"$357,000",1 to 4,Own
C-Star REALTY Nc LLC,Business,Owner,709 Eagles Chase Dr,Lawrenceville,NJ,08648,Mercer,"Trenton, NJ",Not Available,Real Estate Management,2019,Real Estate Management,"$253,000",1 to 4,Unknown
Camelot At Helmetta Urban RNWL,Business,Owner,2100a Camelot Ct,Helmetta,NJ,08828,Middlesex,"New York, NY-NJ",(732) 656-5910,Real Estate Management,2018,Real Estate Management,"$253,000",1 to 4,Own
Carlyn Corp Realtors,Business,Owner,703 Stokes Rd,Medford,NJ,08055,Burlington,"Phl, PA-NJ-DE-MD",(856) 983-4288,Real Estate,2010,Real Estate,"$238,000",1 to 4,Own
Casel Properties LLC,Business,Owner,4202 Route 130 # 7,Willingboro,NJ,08046,Burlington,"Phl, PA-NJ-DE-MD",Not Available,Lessors Of Real Property NEC,2021,Lessors Of Real Property NEC,"$410,000",1 to 4,Lease
Casel Realty,Elizabeth,Dubner,4202 Route 130,Willingboro,NJ,08046,Burlington,"Phl, PA-NJ-DE-MD",(609) 877-5000,Real Estate Management,2009,Real Estate Management,"$476,000",1 to 4,Lease
Cecilia Realty LLC,Business,Owner,1100 Centennial Ave # 103,Piscataway,NJ,08854,Middlesex,"New York, NY-NJ",(732) 465-1310,Real Estate,2011,Real Estate,"$506,000",1 to 4,Own
Cedar Manor Developers LLC,Christine,Tassone,102 Pierce St,Somerset,NJ,08873,Somerset,"New York, NY-NJ",(732) 469-0233,Real Estate Management,2008,Real Estate Management,"$405,000",1 to 4,Own
Cedars At Basking Ridge Condo,Business,Owner,301 Arrowood Way,Basking Ridge,NJ,07920,Somerset,"New York, NY-NJ",(908) 580-0509,Real Estate Management,1996,Real Estate Management,"$135,000",1 to 4,Lease
Chasbob Inc,Karen,Quigley,775 Mountain Blvd # 7,Watchung,NJ,07069,Somerset,"New York, NY-NJ",(908) 668-0284,Real Estate Management,2015,Real Estate Management,"$405,000",1 to 4,Lease
Cis Management Inc,Business,Owner,201 Crosswicks St,Bordentown,NJ,08505,Burlington,"Phl, PA-NJ-DE-MD",(609) 298-2229,Real Estate Management,2019,Real Estate Management,"$357,000",1 to 4,Own
CJC Investments LLC,Mito,Cammisa,1501 Genesee St,Hamilton,NJ,08610,Mercer,"Trenton, NJ",(609) 989-8088,Real Estate Management,2002,Real Estate Management,"$379,000",1 to 4,Own
Cleveland Apartments,Frank,Raia,100 Pershing Ave # 1n,Carteret,NJ,07008,Middlesex,"New York, NY-NJ",(732) 541-8020,Apartments,1991,Apartments,"$659,000",1 to 4,Unknown
Client Design Management Co,Carol,Weishoff,3863 Sylon Blvd,Hainesport,NJ,08036,Burlington,"Phl, PA-NJ-DE-MD",(609) 267-6220,Housing-Rental,1993,Housing-Rental,"$238,000",1 to 4,Own
CMS Property Management,Edward,Griffin,33 Brunswick Woods Dr,East Brunswick,NJ,08816,Middlesex,"New York, NY-NJ",(732) 838-3000,Real Estate Management,2023,Real Estate Management,"$632,000",5 to 9,Lease
College Crossings LLC,David,Adams,130 Bayard St,New Brunswick,NJ,08901,Middlesex,"New York, NY-NJ",(732) 640-1030,Real Estate Management,2020,Real Estate Management,"$506,000",1 to 4,Unknown
Community Management Svc,Business,Owner,19 Corkery Ln,Medford,NJ,08055,Burlington,"Phl, PA-NJ-DE-MD",(609) 654-6443,Services NEC,2005,Services NEC,"$370,000",1 to 4,Own
Construction Management Assoc,Mitchell,Broder,94 Bayard St,New Brunswick,NJ,08901,Middlesex,"New York, NY-NJ",(732) 246-7048,Real Estate Management,2010,Real Estate Management,"$380,000",1 to 4,Own
Core Association-Realtors,Kara,Martin,3461 US Highway 22 # B,Branchburg,NJ,08876,Somerset,"New York, NY-NJ",(908) 725-3117,Real Estate,2020,Real Estate,"$809,000",5 to 9,Lease
Council Of NJ Grantmakers Inc,Business,Owner,1977 N Olden Avenue Ext,Ewing,NJ,08618,Mercer,"Trenton, NJ",Not Available,Real Estate Management,2022,Real Estate Management,"$379,000",1 to 4,Unknown
Cranbury Road LLC,Business,Owner,385 Cranbury Rd,East Brunswick,NJ,08816,Middlesex,"New York, NY-NJ",(732) 698-7722,Real Estate Management,2013,Real Estate Management,"$506,000",1 to 4,Own
Crown Realty Corp,Pat,Pugliese,6 Juliustown Rd,Browns Mills,NJ,08015,Burlington,"Phl, PA-NJ-DE-MD",(609) 893-7177,Real Estate,1984,Real Estate,"$595,000",5 to 9,Unknown
CSM Property Management LLC,Michelle,Mather,66 N Main St,Medford,NJ,08055,Burlington,"Phl, PA-NJ-DE-MD",(609) 714-8400,Real Estate Management,2015,Real Estate Management,"$357,000",1 to 4,Unknown
Davenport Village,Krista,Bagot,301 Davenport Ave,Hainesport,NJ,08036,Burlington,"Phl, PA-NJ-DE-MD",(609) 702-0138,Real Estate Management,2005,Real Estate Management,"$119,000",1 to 4,Unknown
David Depaola & Co,Business,Owner,9 Upper Ferry Rd,Ewing,NJ,08628,Mercer,"Trenton, NJ",(609) 883-4280,Real Estate,2019,Real Estate,"$379,000",1 to 4,Unknown
Deer Valley Realty,Business,Owner,82 Truman Ave,Princeton,NJ,08540,Somerset,"New York, NY-NJ",(609) 924-2727,Real Estate Management,2008,Real Estate Management,"$135,000",1 to 4,Unknown
Destiny Vista Properties LLC,Alecia,Harrison,18 Hamilton St # 8,Bound Brook,NJ,08805,Somerset,"New York, NY-NJ",Not Available,Building Cleaning/Maintenance Svcs,2021,Building Cleaning/Maintenance Svcs,"$250,000",1 to 4,Lease
Deutsch Property Management,Business,Owner,212 W Main St,Somerville,NJ,08876,Somerset,"New York, NY-NJ",(908) 707-1781,Real Estate Management,2012,Real Estate Management,"$270,000",1 to 4,Lease
Diane Armstrong Realty LLC,Diane E,Armstrong,2013 Park Ave,South Plainfield,NJ,07080,Middlesex,"New York, NY-NJ",(908) 769-9000,Real Estate Management,2013,Real Estate Management,"$506,000",1 to 4,Own
Dipti Purohit-Orange Key Rlty,Dipti,Purohit,863 Georges Rd,Monmouth Junction,NJ,08852,Middlesex,"New York, NY-NJ",(917) 324-2423,Real Estate Management,2023,Real Estate Management,"$127,000",1 to 4,Lease
Durham Ave LLC,Business,Owner,295 Durham Ave # 101,South Plainfield,NJ,07080,Middlesex,"New York, NY-NJ",(908) 205-0617,Real Estate Management,2008,Real Estate Management,"$506,000",1 to 4,Lease
East Asia Regl Council Of Sch,Business,Owner,PO Box 5910,Princeton,NJ,08543,Mercer,"Trenton, NJ",Not Available,Real Estate Management,2023,Real Estate Management,"$379,000",1 to 4,Own
East Brunswick Corporate Ctr,Business,Owner,754 State Route 18,East Brunswick,NJ,08816,Middlesex,"New York, NY-NJ",(732) 238-2334,Real Estate Management,1990,Real Estate Management,"$127,000",1 to 4,Unknown
Eastern States Properties,Scott,Plapinger,6 Colonial Lake Dr # A,Trenton,NJ,08648,Mercer,"Trenton, NJ",(609) 883-5711,Real Estate Management,2008,Real Estate Management,"$379,000",1 to 4,Lease
Eden Wood Corp,Business,Owner,4 Engelhard Ave,Avenel,NJ,07001,Middlesex,"New York, NY-NJ",(732) 499-0895,Real Estate,2012,Real Estate,"$506,000",1 to 4,Own
Eden Wood Corp,Business,Owner,5 A Terminal Way,Woodbridge,NJ,07095,Middlesex,"New York, NY-NJ",(732) 388-4627,Real Estate,2012,Real Estate,"$380,000",1 to 4,Own
Edgewater Commons LLC,Business,Owner,393 Route 31 N,Ringoes,NJ,08551,Hunterdon,"New York, NY-NJ",(609) 526-2489,Real Estate Management,2017,Real Estate Management,"$240,000",1 to 4,Unknown
Edison Glen Assoc,Business,Owner,1800 U S Highway No 1,Edison,NJ,08820,Middlesex,"New York, NY-NJ",(732) 549-9695,Real Estate Management,1987,Real Estate Management,"$632,000",5 to 9,Lease
Edison Housing Auth Relocation,Business,Owner,1085 Inman Ave,Edison,NJ,08820,Middlesex,"New York, NY-NJ",(908) 754-2530,Real Estate Management,2007,Real Estate Management,"$632,000",5 to 9,Lease
EFI,Business,Owner,1 Snowdon Ln,Willingboro,NJ,08046,Burlington,"Phl, PA-NJ-DE-MD",(609) 871-1138,Real Estate Management,2008,Real Estate Management,"$238,000",1 to 4,Unknown
Emess Management,Sandy,Perez,601 Bound Brook Rd # 200,Middlesex,NJ,08846,Middlesex,"New York, NY-NJ",(732) 424-9440,Real Estate Management,2005,Real Estate Management,"$632,000",5 to 9,Lease
Empire Ramblewood LLC,Business,Owner,4201 Church Rd,Mount Laurel,NJ,08054,Burlington,"Phl, PA-NJ-DE-MD",(856) 722-5162,Real Estate Management,2005,Real Estate Management,"$238,000",1 to 4,Own
Enclave,Gabriella,Vasquez,100 Canal Walk Blvd,Somerset,NJ,08873,Somerset,"New York, NY-NJ",(732) 412-7618,Real Estate Management,2013,Real Estate Management,"$270,000",1 to 4,Lease
Erin Mcmanus-Keyes Hunterdon,Erin,Mcmanus,60 Wilson St,Lambertville,NJ,08530,Hunterdon,"New York, NY-NJ",(609) 516-1985,Real Estate Management,2023,Real Estate Management,"$120,000",1 to 4,Lease
Esperanza Apartments,Tara,Medina,10 Wood St,Trenton,NJ,08618,Mercer,"Trenton, NJ",(609) 396-2690,Real Estate Management,2001,Real Estate Management,"$506,000",1 to 4,Lease
Everest Healthcare Svc,Al,Lewis,3840 Park Ave # 204,Edison,NJ,08820,Middlesex,"New York, NY-NJ",(732) 548-1266,Real Estate Management,2008,Real Estate Management,"$759,000",5 to 9,Lease
Everest Realty Co Inc,William,Nazarian,958 Parkway Ave,Ewing,NJ,08618,Mercer,"Trenton, NJ",(609) 883-6413,Real Estate,2008,Real Estate,"$379,000",1 to 4,Own
Executive Property Management,Len,Barber,408 Towne Centre Dr,North Brunswick,NJ,08902,Middlesex,"New York, NY-NJ",(732) 821-3224,Real Estate Management,2001,Real Estate Management,"$506,000",1 to 4,Own
Fairfield Properties LLC,Business,Owner,15 Victory Plz,South Amboy,NJ,08879,Middlesex,"New York, NY-NJ",(732) 721-1871,Real Estate Management,2011,Real Estate Management,"$380,000",1 to 4,Own
Farm Property LLC,Business,Owner,91 Hillcrest Rd,Whitehouse Station,NJ,08889,Hunterdon,"New York, NY-NJ",(908) 806-8410,Real Estate Management,2013,Real Estate Management,"$360,000",1 to 4,Own
Finchley Gardens,Business,Owner,203 Main St # 55,South Bound Brook,NJ,08880,Somerset,"New York, NY-NJ",(732) 356-0777,Apartments,1984,Apartments,"$279,000",1 to 4,Lease
Finomus Somerville R E Hldngs,Rupal,Patel,163 Washington Vly Rd # 104,Warren,NJ,07059,Somerset,"New York, NY-NJ",Not Available,Real Estate Management,2016,Real Estate Management,"$405,000",1 to 4,Lease
First Property Mgmt Solution,Arie,Behar,525 Milltown Rd # 402,North Brunswick,NJ,08902,Middlesex,"New York, NY-NJ",(732) 937-5080,Real Estate,2009,Real Estate,"$506,000",1 to 4,Unknown
Frazier Fame Realty LLC,Business,Owner,1075 Easton Ave,Somerset,NJ,08873,Somerset,"New York, NY-NJ",(732) 889-8048,Real Estate Management,2022,Real Estate Management,"$405,000",1 to 4,Own
Freedman Cohen Development,Business,Owner,701 E Gate Dr,Mount Laurel,NJ,08054,Burlington,"Phl, PA-NJ-DE-MD",(856) 235-1788,Real Estate Management,2011,Real Estate Management,"$357,000",1 to 4,Lease
Frieman Realty,Richard,Rosen,21 Chambers St # 1,Princeton,NJ,08542,Mercer,"Trenton, NJ",(609) 921-6665,Real Estate Management,1995,Real Estate Management,"$632,000",5 to 9,Own
Fruscione Co LLC,Joseph,Fruscione,4621 Nottingham Way # A,Trenton,NJ,08690,Mercer,"Trenton, NJ",(609) 586-2000,Real Estate Management,2013,Real Estate Management,"$506,000",1 to 4,Lease
G5 Realty LLC,Business,Owner,190 State Route 18,East Brunswick,NJ,08816,Middlesex,"New York, NY-NJ",(732) 246-0836,Real Estate,2013,Real Estate,"$506,000",1 to 4,Own
Gables At Applegarth Vlg LLC,Business,Owner,2 Gables Way,Monroe,NJ,08831,Middlesex,"New York, NY-NJ",(856) 318-1649,Real Estate Management,2016,Real Estate Management,"$253,000",1 to 4,Unknown
Galaxy International Realty,Business,Owner,150 W End Ave,Somerville,NJ,08876,Somerset,"New York, NY-NJ",(908) 685-5881,Real Estate,2014,Real Estate,"$270,000",1 to 4,Lease
Gale & Wentworth Inc,John,Derderian,197 State Route 18,East Brunswick,NJ,08816,Middlesex,"New York, NY-NJ",(732) 249-7529,Real Estate Management,2001,Real Estate Management,"$632,000",5 to 9,Own
Gale & Wentworth Inc,Business,Owner,101 Business Park Dr,Skillman,NJ,08558,Somerset,"New York, NY-NJ",(609) 497-9206,Real Estate Management,2005,Real Estate Management,"$405,000",1 to 4,Lease
Garden Properties LLC,Nagarjuna R,Thota,10 Schalks Crossing Rd # 23,Plainsboro,NJ,08536,Middlesex,"New York, NY-NJ",Not Available,Real Estate Management,2016,Real Estate Management,"$632,000",5 to 9,Lease
Gateway At Royce Brook Leasing,Business,Owner,23 Gateway Blvd,Hillsborough,NJ,08844,Somerset,"New York, NY-NJ",(908) 262-7735,Real Estate Management,2013,Real Estate Management,"$270,000",1 to 4,Unknown
Gilette Enterprises Inc,Business,Owner,4450 Bordentown Ave,Sayreville,NJ,08872,Middlesex,"New York, NY-NJ",(732) 257-3239,Real Estate Management,2011,Real Estate Management,"$253,000",1 to 4,Own
Gladstone Property Management,Business,Owner,350 Main St,Bedminster,NJ,07921,Somerset,"New York, NY-NJ",(908) 234-2700,Real Estate Management,2020,Real Estate Management,"$270,000",1 to 4,Lease
Goldstar Properties LLC,Business,Owner,54 W Main St,Clinton,NJ,08809,Hunterdon,"New York, NY-NJ",(908) 713-4712,Real Estate,2010,Real Estate,"$240,000",1 to 4,Unknown
Harary Group,Business,Owner,275 State Route 18,East Brunswick,NJ,08816,Middlesex,"New York, NY-NJ",(732) 238-3311,Real Estate Management,2019,Real Estate Management,"$380,000",1 to 4,Lease
Harary Group,Leon,Harary,2400 US Highway 1,North Brunswick,NJ,08902,Middlesex,"New York, NY-NJ",(732) 238-3311,Real Estate Management,1984,Real Estate Management,"$380,000",1 to 4,Lease
Harmony Group LLC,Lisa,Galasso,92 E Main St # 411,Somerville,NJ,08876,Somerset,"New York, NY-NJ",(908) 707-9700,Real Estate,2014,Real Estate,"$539,000",1 to 4,Own
Hercules Holding Co,Business,Owner,365 New Albany Rd,Moorestown,NJ,08057,Burlington,"Phl, PA-NJ-DE-MD",(856) 231-1404,Real Estate Management,2005,Real Estate Management,"$951,000",5 to 9,Lease
Herring Management LLC,Jamie P,Herring,23 Orchard Rd # 104,Skillman,NJ,08558,Somerset,"New York, NY-NJ",(908) 874-5400,Real Estate,2009,Real Estate,"$539,000",1 to 4,Unknown
Hilton Management LLC,Luke,Marsden,902 Carnegie Ctr # 400,Princeton,NJ,08540,Mercer,"Trenton, NJ",(609) 936-8355,Real Estate Management,2016,Real Estate Management,"$379,000",1 to 4,Own
Holly Nance Property Solu,Holly,Nance,100 Horizon Ctr Blvd # 210,Trenton,NJ,08691,Mercer,"Trenton, NJ",(609) 656-7602,Real Estate,2011,Real Estate,"$379,000",1 to 4,Own
Home Sweet Home Realty LLC,Business,Owner,317 Rues Ln,East Brunswick,NJ,08816,Middlesex,"New York, NY-NJ",(732) 238-4663,Real Estate,2014,Real Estate,"$506,000",1 to 4,Lease
Homestead Management Svc Inc,Denise,Becker,284 US Highway 206 # D,Hillsborough,NJ,08844,Somerset,"New York, NY-NJ",(908) 874-6991,Real Estate Management,2012,Real Estate Management,"$539,000",1 to 4,Lease
Housing Solutions Of NJ LLC,Business,Owner,10 Gurley Rd,Edison,NJ,08817,Middlesex,"New York, NY-NJ",(732) 354-3720,Real Estate Management,2015,Real Estate Management,"$253,000",1 to 4,Unknown
Howco Management Co LLC,Howard,Cohen,7 Gordon Ave,Lawrence Township,NJ,08648,Mercer,"Trenton, NJ",(609) 896-0505,Real Estate Management,1997,Real Estate Management,"$506,000",1 to 4,Lease
Hre Brokerage LLC,Business,Owner,609 Beverly Rancocas Rd # B,Willingboro,NJ,08046,Burlington,"Phl, PA-NJ-DE-MD",(609) 733-3164,Real Estate,2015,Real Estate,"$238,000",1 to 4,Own
Hunter Property Management,Business,Owner,1465 State Route 31 S,Annandale,NJ,08801,Hunterdon,"New York, NY-NJ",(908) 238-0700,Real Estate,2004,Real Estate,"$360,000",1 to 4,Own
HW Property Management Svc Inc,Delores,Dean,105 Atsion Rd # E,Medford,NJ,08055,Burlington,"Phl, PA-NJ-DE-MD",(609) 654-8882,Real Estate Management,2010,Real Estate Management,"$357,000",1 to 4,Lease
Inman Plaza-Edison Managment,Business,Owner,938 Inman Ave,Edison,NJ,08820,Middlesex,"New York, NY-NJ",(908) 561-4000,Real Estate Management,1999,Real Estate Management,"$506,000",1 to 4,Lease
